,Country_x,Year,Total_Issued,Total_Not_Issued,Total,Acceptance_Rate,CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,Score2017,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_pct_GDP,Gov_Expenditure_pct_of_GDP,Country_y,Population_MM,GDP_Billions_PPP,GDP_Growth_Rate_,Five_Year_GDP_Growth_Rate,GDP_per_Capita_PPP,Unemployment,Inflation,FDI_Inflow_MM,Public_Debt_pct_GDP,Unnamed_34,Unnamed_35,Score2018
103,HONG KONG S.A.R.,2017,14019,152,14171,0.9892738691694305,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
104,HONG KONG S.A.R.,2018,15166,167,15333,0.9891084588795409,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
105,INDIA,2017,838276,78778,917054,0.914096661701492,74.0,INDIA,India,Asia-Pacific,143.0,33.0,52.6,55.4,44.4,44.3,77.2,77.4,11.0,52.8,41.6,75.0,72.6,40.0,40.0,6.2,30.9,34.6,16.6,27.9,India,1276.3,"$7,965.2 ",7.3,6.7,"$6,162",3.5,4.9,"44,208.0",67.2,,,
106,INDIA,2018,976315,101067,1077382,0.9061920470176781,74.0,INDIA,India,Asia-Pacific,130.0,30.0,,55.4,54.3,47.2,79.4,77.7,13.2,56.4,41.8,75.9,72.4,40.0,40.0,6.3,30.9,32.4,7.2,27.3,India,1309.3,"$8,662.4 ",7.3,6.8,"$6,615.8",3.5,4.9,"44,485.6",69.5,,,54.5
107,INDONESIA,2017,195358,2761,198119,0.9860639312736285,75.0,INDONESIA,Indonesia,Asia-Pacific,84.0,18.0,61.9,48.3,39.3,44.7,83.6,89.9,90.1,49.1,48.9,74.0,80.5,35.0,60.0,2.3,30.0,25.0,10.9,17.4,Indonesia,255.1,"$2,842.2 ",4.8,5.5,"$11,126",5.8,6.4,"15,508.2",27.3,,,
108,INDONESIA,2018,205587,3688,209275,0.9823772548082667,75.0,INDONESIA,Indonesia,Asia-Pacific,69.0,15.0,,49.3,45.2,42.8,83.7,90.7,89.4,57.3,50.3,81.6,80.5,40.0,60.0,2.3,30.0,25.0,10.4,17.6,Indonesia,258.7,"$3,032.1 ",4.8,5.3,"$11,720.3",5.6,3.5,"2,658.1",27.9,,,64.2
109,IRAN,2017,209842,50975,260817,0.8045564514583022,76.0,IRAN,Iran,Middle East / North Africa,155.0,13.0,50.5,32.4,36.0,29.6,81.1,92.7,94.9,64.8,54.5,55.5,54.5,0.0,10.0,15.2,35.0,25.0,6.4,15.9,Iran,79.0,"$1,371.1 ",0.0,-0.1,"$17,251",10.5,12.0,"2,050.0",17.1,,,
110,IRAN,2018,190649,80435,271084,0.7032838529754615,76.0,IRAN,Iran,Middle East / North Africa,156.0,13.0,,32.5,35.3,32.6,81.0,91.1,91.7,64.3,58.2,59.8,54.5,0.0,10.0,15.2,35.0,25.0,7.1,17.2,Iran,80.5,"$1,454.5 ",0.0,0.1,"$18,077.5",11.3,8.9,"3,372.0",35.0,,,50.9
111,IRAQ,2017,34669,25160,59829,0.5794681508967223,77.0,IRAQ,Iraq,Middle East / North Africa,,,,37.3,15.9,19.1,,36.1,11.3,61.2,68.0,76.9,,,,,15.0,15.0,,44.4,Iraq,37.0,$544.1 ,2.4,5.7,"$15,474",16.9,1.4,"3,468.5",66.1,,,
112,IRAQ,2018,33256,30907,64163,0.5183049421005875,77.0,IRAQ,Iraq,Middle East / North Africa,,,,36.7,11.4,23.4,,45.4,11.9,59.1,69.8,79.2,,,,,15.0,15.0,,42.7,Iraq,36.1,$647.2 ,2.4,7.4,"$17,943.7",16.0,0.4,"-5,911.2",63.7,,,
